,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,gt_idle,gt_sr,gt_sl,gt_r
3638,-0.011253,-0.02952,-0.04722,-0.056204,-0.070292,-0.078978,0.000597,0.000209,-0.001522,-0.001552,-0.002776,-0.003462,-0.01576,-0.026356,-0.038355,-0.053309,-0.065457,-0.075396,0.000567,0.000507,-0.000567,-0.003253,-0.003164,-0.004567,-0.008507,-0.023311,-0.03152,-0.038056,-0.045399,-0.055189,-0.004985,-0.006119,-0.017013,-0.0177,-0.022028,-0.027013,-0.012447,-0.020953,-0.024923,-0.036474,-0.040265,-0.045488,0.003164,0.003343,0.000985,-0.001254,-0.000806,-0.008507,1,0,0,0
3639,-0.018271,-0.035975,-0.044961,-0.059053,-0.067741,-0.076608,-0.000388,-0.00212,-0.00215,-0.003374,-0.00406,-0.004926,-0.010598,-0.0226,-0.037557,-0.049708,-0.05965,-0.06795,-6e-05,-0.001134,-0.003821,-0.003732,-0.005135,-0.006359,-0.014808,-0.023018,-0.029556,-0.036901,-0.046693,-0.051768,-0.001134,-0.012032,-0.012718,-0.017047,-0.022033,-0.024182,-0.008509,-0.012479,-0.024033,-0.027825,-0.033049,-0.04117,0.000179,-0.002179,-0.004419,-0.003971,-0.011673,-0.01242,1,0,0,0
3640,-0.017803,-0.02684,-0.041011,-0.049747,-0.058664,-0.063918,-0.001741,-0.001771,-0.003002,-0.003693,-0.004563,-0.006425,-0.012069,-0.02711,-0.039329,-0.049327,-0.057673,-0.064038,-0.001081,-0.003783,-0.003693,-0.005104,-0.006335,-0.006335,-0.008256,-0.014831,-0.022217,-0.032064,-0.037168,-0.043743,-0.010958,-0.011649,-0.016002,-0.021016,-0.023177,-0.029242,-0.003993,-0.015612,-0.019424,-0.024678,-0.032845,-0.041641,-0.002372,-0.004623,-0.004173,-0.011919,-0.012669,-0.019455,1,0,0,0
3641,-0.009129,-0.023445,-0.032271,-0.041279,-0.046587,-0.052956,-3e-05,-0.001274,-0.001971,-0.002851,-0.004731,-0.005338,-0.015195,-0.027539,-0.037639,-0.046071,-0.052501,-0.061145,-0.00273,-0.002639,-0.004064,-0.005308,-0.005308,-0.005156,-0.006642,-0.014103,-0.024052,-0.029208,-0.03585,-0.042947,-0.000698,-0.005095,-0.01016,-0.012344,-0.018471,-0.019927,-0.011738,-0.01559,-0.020897,-0.029147,-0.038034,-0.048103,-0.002275,-0.00182,-0.009645,-0.010403,-0.017258,-0.016894,1,0,0,0
3642,-0.014308,-0.023129,-0.032131,-0.037436,-0.043802,-0.048803,-0.001243,-0.00194,-0.002819,-0.004698,-0.005305,-0.005972,-0.012337,-0.022431,-0.030858,-0.037285,-0.045924,-0.051168,9.1e-05,-0.001334,-0.002577,-0.002577,-0.002425,0.000849,-0.007457,-0.017399,-0.022553,-0.029191,-0.036284,-0.043286,-0.004395,-0.009458,-0.01164,-0.017763,-0.019218,-0.023917,-0.00385,-0.009154,-0.017399,-0.026281,-0.036345,-0.039619,0.000455,-0.007366,-0.008124,-0.014974,-0.014611,0.001607,1,0,0,0
3643,-0.008804,-0.017789,-0.023083,-0.029436,-0.034427,-0.040266,-0.000696,-0.001573,-0.003449,-0.004054,-0.004719,-0.006232,-0.010074,-0.018484,-0.024898,-0.03352,-0.038754,-0.042505,-0.001422,-0.002662,-0.002662,-0.002511,0.000756,0.001361,-0.009923,-0.015066,-0.021691,-0.02877,-0.035759,-0.041204,-0.005052,-0.00723,-0.013341,-0.014794,-0.019483,-0.025866,-0.005294,-0.013523,-0.022387,-0.032431,-0.035698,-0.039722,-0.007805,-0.008561,-0.015399,-0.015036,0.00115,0.003358,1,0,0,0
3644,-0.008957,-0.014235,-0.020568,-0.025544,-0.031364,-0.039417,-0.000875,-0.002744,-0.003348,-0.004011,-0.005519,-0.010133,-0.008384,-0.014777,-0.023372,-0.02859,-0.032329,-0.032209,-0.001236,-0.001236,-0.001086,0.002171,0.002775,0.003498,-0.005127,-0.011731,-0.018788,-0.025755,-0.031183,-0.035013,-0.002171,-0.008263,-0.009711,-0.014385,-0.020749,-0.028017,-0.008203,-0.017039,-0.027052,-0.030309,-0.03432,-0.035617,-0.000754,-0.00757,-0.007208,0.008927,0.011128,0.0114,1,0,0,0
3645,-0.005267,-0.011588,-0.016554,-0.022362,-0.030399,-0.034793,-0.001866,-0.002468,-0.00313,-0.004635,-0.00924,-0.009872,-0.006381,-0.014958,-0.020165,-0.023897,-0.023777,-0.026486,0.0,0.00015,0.003401,0.004003,0.004725,0.007254,-0.006591,-0.013634,-0.020587,-0.026004,-0.029827,-0.034101,-0.00608,-0.007524,-0.01219,-0.01854,-0.025794,-0.02766,-0.008819,-0.018811,-0.022062,-0.026064,-0.027359,-0.030399,-0.006802,-0.006441,0.009661,0.011858,0.012129,0.0155,1,0,0,0
3646,-0.006318,-0.011282,-0.017088,-0.025121,-0.029513,-0.031017,-0.000602,-0.001264,-0.002768,-0.007371,-0.008003,-0.008364,-0.008574,-0.013779,-0.017509,-0.017389,-0.020097,-0.023496,0.00015,0.0034,0.004001,0.004723,0.00725,0.008183,-0.00704,-0.013989,-0.019405,-0.023225,-0.027497,-0.028791,-0.001444,-0.006107,-0.012455,-0.019705,-0.021571,-0.026475,-0.009988,-0.013237,-0.017239,-0.018532,-0.021571,-0.022413,0.000361,0.016456,0.018652,0.018923,0.022293,0.022533,1,0,0,0
3647,-0.004944,-0.010727,-0.018727,-0.023102,-0.0246,-0.02505,-0.000659,-0.002157,-0.006742,-0.007371,-0.007731,-0.00788,-0.005184,-0.008899,-0.008779,-0.011476,-0.014862,-0.01684,0.003236,0.003835,0.004554,0.007071,0.008,0.00854,-0.006922,-0.012315,-0.01612,-0.020375,-0.021664,-0.019896,-0.004644,-0.010967,-0.018188,-0.020046,-0.02493,-0.02514,-0.003236,-0.007221,-0.00851,-0.011536,-0.012375,-0.012705,0.016031,0.018218,0.018488,0.021844,0.022083,0.022353,1,0,0,0
