,timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence
0,0,0.70188,0.7676,-0.01631,0.99963,0.30932,0.77185,-0.53526,0.99993,0.77026,1.016,0.33779,0.18067,0.15538,1.17594,-0.66697,0.82715,0.95479,1.30526,0.32868,0.09833,0.18976,1.53193,-0.95531,0.39847,0.6196,1.47214,0.10588,0.00485,0.37181,1.52457,-0.10216,0.0045
1,33,0.7013233333333333,0.7677166666666666,-0.013266666666666668,0.99963,0.30932333333333334,0.7720533333333334,-0.5517066666666667,0.99993,0.7716066666666667,1.01475,0.3642833333333333,0.18365666666666666,0.15615666666666667,1.18046,-0.69667,0.82915,0.9663766666666667,1.2855433333333335,0.3740833333333334,0.10313,0.19035000000000002,1.5392266666666667,-0.98004,0.40523,0.6194466666666667,1.4818433333333334,0.11035,0.004826666666666667,0.3715,1.5253366666666666,-0.10662333333333333,0.0044466666666666665
2,66,0.7007666666666666,0.7678333333333334,-0.010223333333333334,0.99963,0.30932666666666664,0.7722566666666667,-0.5681533333333333,0.99993,0.7729533333333333,1.0135,0.39077666666666666,0.18664333333333333,0.1569333333333333,1.18498,-0.72637,0.8311499999999999,0.9779633333333334,1.2658266666666667,0.4194866666666667,0.10793,0.19094,1.5465233333333332,-1.0047700000000002,0.41199,0.6192933333333334,1.4915466666666666,0.11481999999999999,0.004803333333333334,0.37118999999999996,1.5261033333333334,-0.11108666666666667,0.004393333333333333
3,99,0.7001033333333333,0.7679566666666667,-0.008816666666666667,0.9996266666666667,0.30929666666666666,0.7725133333333334,-0.5845466666666667,0.99993,0.7744433333333334,1.0122433333333334,0.39957333333333334,0.19126333333333334,0.15705,1.1894733333333334,-0.7494733333333333,0.8349366666666667,0.9874933333333333,1.2505066666666667,0.42337,0.11472,0.19156,1.5535433333333333,-1.0237966666666667,0.42202333333333336,0.61915,1.4971833333333333,0.11891,0.004796666666666667,0.37082,1.5268866666666667,-0.11516666666666667,0.004333333333333333
4,132,0.6999966666666667,0.7679633333333333,-0.010453333333333334,0.9996233333333333,0.30926333333333333,0.7725666666666666,-0.5844933333333333,0.99993,0.7745866666666666,1.0122366666666667,0.38187666666666664,0.19289666666666666,0.15639,1.1894466666666665,-0.7428766666666667,0.8367233333333333,0.9854366666666667,1.2549033333333335,0.38185,0.11671,0.19159,1.5532666666666668,-1.0180933333333333,0.42529666666666666,0.61916,1.4931166666666666,0.11853,0.0048133333333333335,0.37076,1.5269033333333333,-0.11478333333333333,0.004326666666666667
5,165,0.6997566666666667,0.7680433333333334,-0.00701,0.99962,0.30927333333333334,0.7726366666666666,-0.57862,0.9999266666666666,0.7764833333333333,1.0119099999999999,0.37550333333333336,0.19921333333333333,0.15575,1.1897499999999999,-0.7294933333333333,0.8402866666666666,0.9893266666666667,1.2528000000000001,0.36674333333333337,0.12346333333333333,0.18919,1.55318,-1.0091133333333333,0.43328333333333335,0.6185166666666667,1.4896466666666666,0.11766,0.00489,0.37412,1.5319766666666668,-0.11390333333333333,0.004346666666666667
6,198,0.6996233333333333,0.7681166666666667,-0.0019299999999999994,0.99962,0.3093166666666667,0.7726533333333333,-0.5728,0.9999233333333334,0.7782366666666667,1.01159,0.38682666666666665,0.20389666666666667,0.15577000000000002,1.19008,-0.7227066666666667,0.8420633333333334,0.9952733333333333,1.2463,0.39315666666666665,0.12822666666666666,0.18676,1.5533700000000001,-1.0058366666666665,0.43799666666666665,0.6178633333333333,1.4902433333333334,0.11717000000000001,0.0049499999999999995,0.37754,1.5370333333333333,-0.11340666666666667,0.004373333333333333
7,231,0.69946,0.7681733333333334,0.003943333333333333,0.99962,0.30957333333333337,0.77265,-0.5632900000000001,0.99992,0.77996,1.0104899999999999,0.4017966666666667,0.20976666666666666,0.15662,1.1903966666666665,-0.71283,0.8446033333333334,0.9987566666666666,1.2416133333333332,0.42521333333333333,0.13565333333333332,0.18617666666666666,1.5532366666666666,-0.9985999999999999,0.44457,0.61722,1.4890266666666667,0.11575,0.005059999999999999,0.38411,1.5429366666666666,-0.11201666666666667,0.004426666666666666
8,264,0.69943,0.7681566666666667,0.004736666666666667,0.99962,0.30978666666666665,0.77263,-0.5596,0.99992,0.77993,1.00971,0.4054433333333333,0.21095333333333333,0.15745,1.1903833333333333,-0.70974,0.8453666666666667,0.9962933333333334,1.2434266666666667,0.43085666666666667,0.13831666666666667,0.18802333333333335,1.5529133333333334,-0.99464,0.44643,0.6172300000000001,1.4872133333333333,0.11482,0.00511,0.38726,1.5437833333333333,-0.11112333333333332,0.0044533333333333334
9,297,0.69954,0.7681833333333333,0.004103333333333334,0.99962,0.31000666666666665,0.7725833333333334,-0.5531333333333334,0.99992,0.7803100000000001,1.0089700000000001,0.39604666666666666,0.21323,0.1584,1.1903333333333332,-0.6986566666666667,0.8465933333333334,0.99232,1.2458,0.3997966666666667,0.14146333333333333,0.18994,1.5516999999999999,-0.9856,0.45009333333333335,0.6173166666666666,1.4854133333333335,0.11383333333333334,0.00514,0.39039999999999997,1.5448266666666666,-0.11019333333333332,0.004463333333333333
