,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
509,-0.020427,-0.036422,-0.061972,-0.097943,-0.157907,-0.002354,-0.005159,-0.004743,-0.006266,-0.005851,-0.012533,-0.030709,-0.062768,-0.104175,-0.165628,-0.000935,-0.001593,0.0009,0.001523,-0.010386,-0.013502,-0.027282,-0.050028,-0.082883,-0.14212,-0.001142,-0.002527,-0.003531,-0.000242,-0.000346,-0.013052,-0.030986,-0.058164,-0.097874,-0.161473,0.006924,0.008101,0.010179,0.022469,0.021707,0.007876,0.009689,0.008948,0.020493,0.031748,0.00149,0.003016,0.00175,0.00674,0.006268,-7.9e-05,-0.000651,-0.008296,-0.011984,-0.009303,-0.012657,-0.016613,-0.022037,-0.027403,-0.028889,1.054278,1.057776,1,0,0,0,0,0,0,0,0,0,0
510,-0.017223,-0.029604,-0.058308,-0.113816,-0.137194,-0.002801,-0.002974,-0.002352,-0.003458,-0.003908,-0.013488,-0.030157,-0.074217,-0.129482,-0.157633,-0.000138,0.001245,0.002421,-0.005776,-0.010202,-0.011586,-0.023344,-0.051461,-0.103613,-0.136191,-0.001349,-0.002386,-3.5e-05,0.000899,-0.000484,-0.012381,-0.02822,-0.065225,-0.12509,-0.149748,-0.001141,0.001072,0.010825,0.014456,0.014318,-0.001079,-0.000309,0.007822,0.019893,0.023974,0.001746,0.00092,0.002681,0.00493,0.003468,-0.001605,-0.003009,-0.015138,-0.00815,-0.015554,-0.010328,-0.011551,-0.012479,-0.018704,-0.001155,1.053909,1.054184,1,0,0,0,0,0,0,0,0,0,0
511,0.001243,-0.024244,-0.060126,-0.119941,-0.16608,0.0,0.000414,-0.001105,-0.000691,-0.001899,-0.004662,-0.036642,-0.077946,-0.139246,-0.174506,-0.000518,0.001969,0.00259,-0.00929,-0.017786,-0.002176,-0.024865,-0.057639,-0.116729,-0.164595,-3.5e-05,-0.001036,0.002245,0.002141,0.0,-0.005526,-0.032636,-0.072248,-0.135689,-0.169775,0.002314,0.004386,0.016646,0.015886,0.014677,0.002886,0.002147,0.013664,0.024891,0.032096,-0.000221,-0.001484,0.003493,0.003022,0.001984,0.001027,-0.006486,-0.010111,-0.007476,-0.010459,0.00634,0.001009,-0.004264,-0.005725,-0.002485,1.053834,1.052714,1,0,0,0,0,0,0,0,0,0,0
512,-0.013562,-0.042133,-0.097381,-0.120651,-0.189874,-0.000172,0.000447,-0.000654,-0.001102,-0.001652,-0.011945,-0.055799,-0.110806,-0.138826,-0.192008,0.001893,0.003064,-0.005095,-0.009501,-0.01845,-0.009535,-0.03752,-0.089429,-0.121855,-0.186053,-0.000998,0.001342,0.002272,0.000895,0.000379,-0.010258,-0.04709,-0.106675,-0.131218,-0.183299,-0.000103,0.009604,0.013218,0.013081,0.011153,-0.00211,0.005983,0.017998,0.02206,0.029014,-0.000602,0.001151,0.003389,0.001934,0.002237,-0.002363,-0.0141,-0.007338,-0.014503,-0.017687,-0.00738,-0.008277,-0.014302,0.002681,-0.006632,1.055205,1.05663,1,0,0,0,0,0,0,0,0,0,0
513,-0.011827,-0.047551,-0.107101,-0.153035,-0.199245,0.000584,-0.000928,-0.000516,-0.001719,-0.001341,-0.019907,-0.061028,-0.122057,-0.157161,-0.198454,0.000584,0.001203,-0.010624,-0.019082,-0.020457,-0.013065,-0.045694,-0.104522,-0.152176,-0.20038,0.0,0.003266,0.003163,0.001031,0.001307,-0.016744,-0.056181,-0.119341,-0.153276,-0.18814,0.002166,0.014372,0.013615,0.012412,0.010865,0.001372,0.012838,0.024015,0.031188,0.03069,-0.000655,0.0043,0.003831,0.002797,0.002577,-0.00494,-0.008453,-0.005899,-0.008792,-0.021914,0.002152,-0.00296,-0.004376,-0.001235,0.00243,1.054995,1.056064,1,0,0,0,0,0,0,0,0,0,0
514,-0.016697,-0.071839,-0.095064,-0.164155,-0.207754,3.4e-05,-0.001065,-0.001512,-0.002061,-0.00189,-0.023878,-0.07878,-0.106746,-0.159827,-0.194011,0.000584,-0.007558,-0.011956,-0.020889,-0.024118,-0.014876,-0.066686,-0.09905,-0.163125,-0.208201,0.002336,0.003264,0.00189,0.001374,-0.001752,-0.02003,-0.079501,-0.103997,-0.155979,-0.187965,0.007524,0.011132,0.010994,0.00907,0.00268,0.006707,0.018699,0.022753,0.029694,0.026429,0.002404,0.004638,0.003186,0.003489,0.000112,-0.006667,5e-06,-0.007065,-0.010206,-0.014418,-0.003027,-0.008971,0.007786,-0.001403,0.000953,1.052501,1.053467,1,0,0,0,0,0,0,0,0,0,0
515,-0.018951,-0.078305,-0.124088,-0.170146,-0.189577,-0.001542,-0.001131,-0.00233,-0.001953,-0.004832,-0.017169,-0.077996,-0.112985,-0.154142,-0.173128,3.4e-05,-0.011754,-0.020185,-0.021555,-0.026936,-0.017683,-0.076317,-0.123814,-0.17186,-0.192798,0.000925,0.000822,-0.001302,-0.001028,-0.012063,-0.019328,-0.08228,-0.116104,-0.150853,-0.167747,0.004661,0.003907,0.002707,0.001165,-0.010246,0.004739,0.015879,0.023029,0.022532,0.016416,0.00254,0.002073,0.001043,0.000824,-0.007404,0.003116,0.005611,0.002785,-0.010038,-0.013447,-0.002022,-0.003406,-0.000337,0.003244,0.005066,1.048134,1.046036,1,0,0,0,0,0,0,0,0,0,0
516,-0.035886,-0.058946,-0.127547,-0.170836,-0.186254,0.000443,0.0,-0.000546,-0.000375,-0.004128,-0.037421,-0.065189,-0.117893,-0.151835,-0.170256,-0.008119,-0.012485,-0.021354,-0.024561,-0.037831,-0.03384,-0.065974,-0.129594,-0.174349,-0.189427,0.0,-0.001365,-0.001876,-0.00498,-0.016101,-0.039809,-0.064132,-0.115744,-0.147503,-0.16664,-0.001057,-0.001194,-0.003104,-0.009449,-0.034624,0.00719,0.011215,0.018107,0.014866,0.003009,-0.000311,-0.001753,-0.001452,-0.004805,-0.012142,0.00333,-0.003396,-0.006384,-0.010391,-0.008511,-0.003697,0.012245,0.003503,0.005744,0.004584,1.045124,1.051509,1,0,0,0,0,0,0,0,0,0,0
517,-0.023087,-0.068446,-0.114076,-0.133326,-0.163034,-3.4e-05,-0.001222,-0.000849,-0.003701,-0.004991,-0.023019,-0.057683,-0.098458,-0.117267,-0.14745,-0.003599,-0.011951,-0.013309,-0.018639,-0.039757,-0.024411,-0.071467,-0.119067,-0.139811,-0.166497,-0.000102,-0.002207,-0.001935,-0.012867,-0.01667,-0.022747,-0.056257,-0.090684,-0.107422,-0.141101,0.000306,-0.000883,-0.002411,-0.013716,-0.052624,0.003881,0.010965,0.010472,0.004413,-0.0132,-0.000154,-0.001175,-0.001392,-0.009543,-0.011876,-0.000883,-0.003531,-0.015544,-0.018737,-0.011335,0.002279,0.005155,0.00851,0.010217,0.005333,1.034211,1.054268,1,0,0,0,0,0,0,0,0,0,0
518,0.000135,-0.067895,-0.110824,-0.126115,-0.151859,-0.000406,-0.000947,-0.000778,-0.004499,-0.007375,-0.004601,-0.056867,-0.090527,-0.108795,-0.136332,-0.000744,-0.00954,-0.01272,-0.025879,-0.052131,-0.007544,-0.070635,-0.115019,-0.129972,-0.15328,-0.001252,-0.001759,-0.004838,-0.015866,-0.019892,-0.001455,-0.052638,-0.084133,-0.103111,-0.130378,-0.00044,-0.002334,-0.008626,-0.033592,-0.084505,0.000125,0.00696,0.003745,-0.008013,-0.032657,-0.001276,-0.000978,-0.004303,-0.01158,-0.012582,-0.005483,-0.008302,-0.012081,-0.010308,-0.008985,0.012815,0.004568,0.006683,0.005588,0.001828,1.013632,1.05628,1,0,0,0,0,0,0,0,0,0,0
