,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,80,64,0.0013,0.001422,0.8842105263157894,0.7814702920443101
1,leaky_relu,80,64,0.002611,0.002643,0.8684503901895206,0.7869520897043832
2,leaky_relu,80,64,0.004387,0.003168,0.8416666666666666,0.7256944444444443
3,leaky_relu,80,128,0.000978,0.00353,0.8682811577082102,0.8037735849056603
4,leaky_relu,80,128,0.003258,0.001232,0.8544266191325014,0.7666666666666666
5,leaky_relu,80,128,0.003882,0.008647,0.8713289668286499,0.7767393561786085
6,leaky_relu,80,128,0.003994,0.00123,0.8246828143021915,0.7962962962962963
7,leaky_relu,80,256,0.000524,0.0,0.8482718219097833,0.7808764940239044
8,leaky_relu,80,256,0.003547,0.003793,0.8794297352342159,0.7950819672131147
9,leaky_relu,80,512,0.001498,0.006109,0.84,0.8145766345123259
10,leaky_relu,80,512,0.001524,0.0,0.888618381010347,0.7958762886597938
11,leaky_relu,80,512,0.004728,0.001906,0.7999999999999999,0.7528089887640449
12,leaky_relu,80,512,0.004814,0.004551,0.8839533592448641,0.825910931174089
13,relu,80,64,0.000852,0.004539,0.8564733450497951,0.7769929364278506
14,relu,80,64,0.004228,0.0,0.7693290734824281,0.7849223946784922
15,relu,80,128,0.002095,0.0,0.882607798638333,0.7995867768595041
16,relu,80,256,0.00068,0.008792,0.8698464025869037,0.7805864509605662
17,relu,80,256,0.001322,0.001333,0.8744794765020821,0.8050314465408805
18,relu,80,256,0.001568,0.0,0.8764682057513163,0.8119834710743801
19,sigmoid,80,64,0.001429,0.006449,0.8563514048278591,0.7740667976424361
20,sigmoid,80,64,0.001579,0.001074,0.8574766355140188,0.7442680776014109
21,sigmoid,80,64,0.001889,0.00309,0.8521939953810623,0.7550432276657061
22,sigmoid,80,64,0.002046,0.0,0.8549796156086197,0.7531461761858664
23,sigmoid,80,128,0.000565,0.003333,0.6100086281276963,0.4964200477326969
24,sigmoid,80,128,0.001527,0.001134,0.845020624631703,0.7404580152671757
25,sigmoid,80,128,0.002409,0.002166,0.8873818331278257,0.7987551867219918
26,sigmoid,80,256,0.001043,0.004469,0.7303430079155673,0.6677966101694915
27,sigmoid,80,256,0.002573,0.003864,0.7862513426423201,0.7380952380952381
28,sigmoid,80,512,0.000847,0.002455,0.0,0.0
29,sigmoid,80,512,0.002515,0.0,0.7521716913643333,0.6507462686567165
