,activation function,epochs,batch size,lr,weight decay,min_f1_train,min_f1_val
0,leaky_relu,80,128,0.000702,0.004593,0.8648648648648649,0.7800995024875621
1,leaky_relu,80,128,0.001452,0.001227,0.8656233135456016,0.8213333333333332
2,leaky_relu,80,128,0.003264,0.0,0.8671439936356404,0.7672833495618304
3,leaky_relu,80,128,0.004862,0.001355,0.8659950579737693,0.7752808988764045
4,leaky_relu,80,256,0.00066,0.00429,0.8505074160811865,0.7601547388781431
5,leaky_relu,80,256,0.001155,0.004965,0.8352402745995423,0.7346189164370982
6,leaky_relu,80,256,0.003722,0.003316,0.8685577307231322,0.7916251246261214
7,leaky_relu,80,512,0.000595,0.00936,0.8554525734569118,0.7751479289940829
8,leaky_relu,80,512,0.000991,0.005829,0.8568619740464019,0.7621832358674464
9,leaky_relu,80,512,0.004529,0.001493,0.83704974271012,0.7647628267182963
10,relu,80,64,0.004226,0.004327,0.8128523111612177,0.7287822878228781
11,relu,80,128,0.000795,0.004284,0.8712317827909762,0.7829534192269573
12,relu,80,128,0.000843,0.0,0.8601302031958966,0.7635658914728684
13,relu,80,128,0.001887,0.0,0.8663887234464959,0.796895213454075
14,relu,80,128,0.004645,0.001611,0.8078310149407522,0.7409948542024014
15,relu,80,256,0.001474,0.00314,0.8738176695512174,0.7762376237623763
16,relu,80,256,0.003775,0.001092,0.8526584265254071,0.7653359298928918
17,relu,80,512,0.000768,0.005974,0.8705079301345111,0.7907907907907908
18,sigmoid,80,64,0.001426,0.002316,0.823167606355715,0.7506234413965086
19,sigmoid,80,64,0.001848,0.001452,0.853035143769968,0.7814702920443101
20,sigmoid,80,64,0.003034,0.006918,0.8181818181818181,0.7863554757630161
21,sigmoid,80,128,0.001185,0.002094,0.8445320197044335,0.7552986512524085
22,sigmoid,80,128,0.003854,0.005699,0.8384736016727652,0.7576875768757688
23,sigmoid,80,256,0.000547,0.001123,0.12110845022237425,0.16951915240423798
24,sigmoid,80,256,0.000573,0.007051,0.055754679410593394,0.09746954076850985
25,sigmoid,80,256,0.000822,0.004114,0.6328996282527881,0.5142857142857143
26,sigmoid,80,256,0.000923,0.009994,0.6166950596252129,0.5706134094151213
27,sigmoid,80,256,0.001171,0.0,0.74163179916318,0.5969696969696969
28,sigmoid,80,512,0.001366,0.007272,0.6891566265060242,0.5274151436031332
29,sigmoid,80,512,0.002203,0.003768,0.8273866923818708,0.7356538099717781
