,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
1285,0.001961,0.007452,0.00782,0.004927,0.015026,0.017453,0.003652,0.008285,0.009854,-0.00076,-0.000588,-0.000809,0.000564,0.00027,-0.000319,0.004878,0.011227,0.01483,0.003187,0.009266,0.01157,-0.001152,-0.000882,-0.001495,-0.00036,-0.000357,-0.000795,-0.000231,-0.004666,-0.003609,0.000297,-0.000578,-0.001005,0.001316,0.006241,0.007237,0.098819,-0.922771,-0.117861,-0.982018,1,0,0,0,0,0,0,0,0,0,0
1286,0.003601,0.006467,0.00485,0.008353,0.012664,0.012493,0.002425,0.005389,0.00654,9.8e-05,0.000269,0.0,0.000392,-2.4e-05,-0.002205,0.006516,0.010092,0.008647,0.003331,0.006932,0.008672,0.000147,0.000122,-0.000661,-1.1e-05,-0.000247,-0.000798,-0.002226,-0.003347,-0.004678,-0.000546,-0.000921,-0.001253,0.002771,0.00567,0.006047,0.098097,-0.922957,-0.117956,-0.980896,1,0,0,0,0,0,0,0,0,0,0
1287,0.001881,0.002248,-2.4e-05,0.001735,0.004153,0.002565,0.002199,0.003762,0.004397,7.3e-05,-0.000147,0.000244,-0.000684,-0.00127,-0.003665,-0.000171,0.00342,-0.002981,0.002736,0.005033,0.004984,0.000122,-0.000489,-0.001222,1.4e-05,-0.000422,-0.001501,-0.0022,-0.001147,-0.005941,-0.000319,-0.000736,-0.000296,0.002091,0.003064,0.002688,0.097473,-0.922963,-0.118004,-0.975659,1,0,0,0,0,0,0,0,0,0,0
1288,0.000976,-0.000635,-0.002319,0.002563,0.002392,0.000683,0.000757,0.001904,0.001684,9.8e-05,-0.000171,0.000805,0.000268,-0.001904,-0.007029,0.003734,0.002294,-0.004198,0.000854,0.002587,0.001342,-0.000146,-0.000927,-0.001245,-0.00025,-0.000798,-0.002024,0.001081,-0.000245,-0.005384,-4.8e-05,-0.000372,0.000268,0.000749,0.001116,0.003525,0.097844,-0.922993,-0.116071,-0.974374,1,0,0,0,0,0,0,0,0,0,0
1289,-0.00061,-0.00288,-0.003735,-0.000146,-0.001733,-0.002636,0.000806,0.00144,0.000317,-0.000317,7.3e-05,0.002099,-0.000854,-0.003247,-0.012791,-0.000146,-0.006542,-0.009203,0.00144,0.001391,-0.000171,-0.000464,-0.001196,0.000317,-0.000186,-0.001264,-0.001747,-2.8e-05,-0.004819,-0.0075,-0.000366,7.2e-05,0.000344,0.000218,-0.000156,0.006924,0.097883,-0.922354,-0.11445,-0.972666,1,0,0,0,0,0,0,0,0,0,0
1290,-0.001001,-0.002685,-0.004052,-2.4e-05,-0.001733,-0.001147,0.000342,0.000122,-0.000757,4.9e-05,0.001025,0.00249,-0.001318,-0.006445,-0.017894,-0.001294,-0.007787,-0.009838,0.000293,-0.000952,-0.001977,-0.000317,-0.000635,0.002148,-0.000362,-0.001588,-0.000264,-0.001298,-0.006438,-0.010055,4.2e-05,0.000683,0.000718,0.000151,0.002563,0.010639,0.096399,-0.922388,-0.112625,-0.970673,1,0,0,0,0,0,0,0,0,0,0
1291,-0.00127,-0.002125,-0.008158,-0.001563,-0.002467,-0.000537,0.000293,-0.000831,-0.00364,0.000342,0.002369,0.005325,-0.001075,-0.010626,-0.023132,-0.005105,-0.007768,-0.009136,-0.000342,-0.001905,-0.002345,-0.000415,0.001099,0.005667,-0.000716,-0.001199,0.000263,-0.003495,-0.006178,-0.010056,0.000398,0.000671,-0.000779,-0.000527,0.006585,0.011605,0.090706,-0.922966,-0.113088,-0.970206,1,0,0,0,0,0,0,0,0,0,0
1292,-0.000416,-0.001784,-0.013174,-0.000147,0.00044,0.001173,-0.000513,-0.001393,-0.008432,0.000635,0.002102,0.010559,-0.004057,-0.01552,-0.027472,-0.001393,-0.003446,-0.004057,-0.000904,-0.001931,-0.003422,9.8e-05,0.002884,0.01029,-0.000511,0.000815,-0.00056,-0.001649,-0.005271,-0.006659,0.000247,0.000282,-0.002935,0.002963,0.011107,0.011471,0.084472,-0.922389,-0.114653,-0.968963,1,0,0,0,0,0,0,0,0,0,0
1293,-0.00044,-0.006484,-0.02021,-0.000758,0.001174,0.001101,-0.000612,-0.003425,-0.012527,0.001395,0.004355,0.015439,-0.005505,-0.018032,-0.03122,-0.001272,-0.002642,-0.008906,-0.000661,-0.001101,-0.004722,0.001419,0.005994,0.014803,2.8e-05,0.001492,-0.001071,-0.001036,-0.004921,-0.011041,2.8e-05,-0.001439,-0.004568,0.004211,0.009289,0.008427,0.079008,-0.924001,-0.116159,-0.962557,1,0,0,0,0,0,0,0,0,0,0
1294,-0.00093,-0.012333,-0.029683,0.001346,0.00208,0.000465,-0.000269,-0.007317,-0.015735,7.3e-05,0.00854,0.016714,-0.005971,-0.017937,-0.03076,-0.000783,-0.001395,-0.011648,-0.000367,-0.00186,-0.006485,0.00137,0.008785,0.019748,0.001301,-7.6e-05,0.002529,-0.00259,-0.00398,-0.01216,8e-06,-0.003236,-0.005519,0.003998,0.004364,0.000423,0.076202,-0.92891,-0.12079,-0.96055,1,0,0,0,0,0,0,0,0,0,0
1295,-0.005115,-0.018844,-0.037615,0.000587,0.000514,-0.001273,-0.002545,-0.011649,-0.019138,0.002888,0.013974,0.021708,-0.006559,-0.01975,-0.032525,-0.000587,-0.006852,-0.010034,-7.3e-05,-0.003695,-0.00766,0.003206,0.012016,0.023249,0.000164,-0.0024,0.000946,-0.001295,-0.007417,-0.008242,-0.001477,-0.004611,-0.006804,0.001086,0.000223,-0.004318,0.0732,-0.931881,-0.120692,-0.963129,1,0,0,0,0,0,0,0,0,0,0
1296,-0.0063,-0.023682,-0.040401,0.000147,-0.001471,-0.004364,-0.004511,-0.012944,-0.019882,0.005589,0.013777,0.021451,-0.005418,-0.018264,-0.033365,-2.5e-05,-0.010296,-0.011081,-0.001422,-0.006055,-0.009267,0.004217,0.015199,0.022946,-0.001543,0.001067,0.000994,-9.5e-05,-0.00829,-0.00603,-0.001791,-0.004103,-0.006364,-0.000729,-0.004719,-0.005772,0.068861,-0.933039,-0.121022,-0.962679,1,0,0,0,0,0,0,0,0,0,0
1297,-0.007472,-0.026322,-0.042371,-0.000221,-0.002015,-0.004842,-0.004621,-0.012141,-0.019441,0.00553,0.013296,0.01804,-0.007816,-0.020645,-0.035613,-0.006267,-0.009462,-0.011232,-0.002212,-0.006193,-0.011281,0.004621,0.015902,0.022095,-0.001028,0.002332,0.003702,-0.006053,-0.006881,-0.005719,-0.001406,-0.003665,-0.005061,-0.000148,-0.004826,-0.005576,0.067443,-0.935599,-0.119846,-0.962911,1,0,0,0,0,0,0,0,0,0,0
1298,-0.009978,-0.026779,-0.040945,-0.001404,-0.004311,-0.001725,-0.003843,-0.010815,-0.0186,0.002685,0.010396,0.015003,-0.005075,-0.020251,-0.034934,-0.00404,-0.004829,-0.004582,-0.002439,-0.005666,-0.012614,0.006405,0.01419,0.019463,0.003653,0.00358,0.004217,-0.002168,0.000103,-0.002278,-0.000963,-0.003304,-0.003846,-0.00398,-0.00507,-0.004861,0.06532,-0.937408,-0.119448,-0.964523,1,0,0,0,0,0,0,0,0,0,0
1299,-0.008962,-0.025128,-0.036294,-0.000396,-0.003243,0.002946,-0.003714,-0.011066,-0.018865,0.005125,0.009903,0.016488,-0.007823,-0.0229,-0.034635,0.000842,-0.000941,-0.000347,-0.00156,-0.006684,-0.012057,0.004927,0.011165,0.017157,-0.000286,0.001094,0.000426,0.001345,0.002515,-0.003109,-0.001381,-0.00285,-0.00441,-0.000804,-0.001593,-0.001576,0.062632,-0.939358,-0.120414,-0.966402,1,0,0,0,0,0,0,0,0,0,0
1300,-0.007948,-0.022231,-0.033508,-0.002534,7.5e-05,0.005216,-0.003304,-0.011153,-0.019126,0.002633,0.007278,0.017511,-0.007452,-0.022256,-0.031446,-0.001639,-0.001391,-0.001143,-0.001689,-0.008694,-0.012618,0.002906,0.008222,0.015201,0.000214,0.000856,-0.002512,0.00094,-0.001461,-0.006111,-0.001066,-0.00164,-0.00424,-0.000332,-0.000111,-0.002119,0.060656,-0.939196,-0.121034,-0.967923,1,0,0,0,0,0,0,0,0,0,0
1301,-0.008287,-0.019511,-0.030511,-0.000324,0.005898,0.011249,-0.004081,-0.011921,-0.019312,0.002165,0.008785,0.020158,-0.00769,-0.019486,-0.02735,-0.000149,0.000448,0.000498,-0.003459,-0.00886,-0.013065,0.00336,0.009382,0.017271,0.001173,0.000501,-0.00306,0.000234,-0.005419,-0.010354,-0.000443,-0.002062,-0.004077,-0.000482,-0.000464,-0.003303,0.059257,-0.941873,-0.122516,-0.969107,1,0,0,0,0,0,0,0,0,0,0
1302,-0.006036,-0.01736,-0.026364,0.002943,0.008106,0.012995,-0.003791,-0.011798,-0.017983,0.002494,0.01277,0.025366,-0.007158,-0.016387,-0.022672,0.000399,0.000648,0.000624,-0.003567,-0.007508,-0.011024,0.00197,0.008979,0.018831,-0.000531,-0.003912,-0.006711,-0.002645,-0.007315,-0.011899,-0.000141,-0.002817,-0.004509,0.000717,-0.00135,-0.003823,0.057825,-0.944003,-0.124684,-0.969784,1,0,0,0,0,0,0,0,0,0,0
1303,-0.005233,-0.016299,-0.023359,0.003305,0.008688,0.012293,-0.004081,-0.011517,-0.016674,0.004156,0.015598,0.033899,-0.004682,-0.012593,-0.018677,0.0002,0.00025,0.00025,-0.001853,-0.006084,-0.008913,0.004081,0.012017,0.023784,-0.000143,-0.003725,-0.010301,-0.003032,-0.007997,-0.011469,-0.001544,-0.003645,-0.005074,-0.000718,-0.003679,-0.004737,0.057287,-0.948869,-0.125179,-0.970818,1,0,0,0,0,0,0,0,0,0,0
1304,-0.006158,-0.015231,-0.020484,0.001885,0.006811,0.010405,-0.003971,-0.010204,-0.01503,0.006183,0.018875,0.035337,-0.004599,-0.010933,-0.015633,5e-05,2.5e-05,0.000478,-0.002111,-0.005655,-0.008872,0.002966,0.012893,0.024254,-0.003264,-0.006085,-0.011212,-0.001661,-0.00628,-0.009338,-0.001237,-0.003022,-0.003997,-0.001443,-0.004052,-0.004742,0.057563,-0.953521,-0.126245,-0.971505,1,0,0,0,0,0,0,0,0,0,0
