,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
415,0.001205,0.005423,0.009942,-0.000339,-0.00177,-0.002975,-0.000377,-0.001017,-0.00049,-0.002824,-0.004745,-0.006778,0.000904,0.005498,0.006477,0.003803,0.009527,0.011599,-0.009527,-0.011222,-0.017285,-0.008925,-0.00723,-0.014084,-0.006082,-0.002455,-0.00715,0.004152,0.011284,0.014717,0.022146,0.024379,0.040358,0.000216,-0.001028,0.005675,0.066208,-1.030417,-0.012751,-1.056504,1,0,0,0,0,0,0,0,0,0,0
416,0.002052,0.00679,0.008655,-0.001156,-0.001641,-0.005745,-0.001268,3.7e-05,-0.001306,-0.001567,-0.003171,-0.004589,0.002611,0.005409,0.004663,0.001716,0.007312,0.006528,-0.001865,-0.002649,-0.010334,-0.012758,0.000336,-0.01011,-0.011184,0.003542,-0.005344,0.002846,0.009006,0.012447,0.001523,0.005862,0.020431,-0.001182,0.001931,0.006571,0.069415,-1.026448,-0.011147,-1.056297,1,0,0,0,0,0,0,0,0,0,0
417,0.002101,0.006523,0.006413,-0.000258,-0.001437,-0.004644,0.000627,0.001143,-0.000332,-0.000332,-0.002322,-0.001843,0.001916,0.002875,-0.000258,0.003907,0.005934,0.007113,0.000184,-0.005749,-0.005491,0.014263,0.007555,0.012125,0.014599,0.010005,0.014054,0.004169,0.007529,0.012064,0.000521,0.014263,0.010474,1.6e-05,0.005781,0.010847,0.067421,-1.036183,-0.008107,-1.059036,1,0,0,0,0,0,0,0,0,0,0
418,0.002571,0.004407,0.004187,-0.00022,-0.00426,-0.007382,0.000661,-0.000661,-0.001616,-0.001249,-0.002644,-0.001579,0.000845,0.00011,-0.003195,0.001616,0.000845,0.003085,-0.000955,-0.008521,-0.001322,-0.001322,-0.011606,-0.000294,-5.1e-05,-0.008799,0.001282,0.00191,0.005297,0.010815,0.003381,0.01644,-0.000837,0.002775,0.006934,0.011961,0.064035,-1.038424,-0.006202,-1.059415,1,0,0,0,0,0,0,0,0,0,0
419,0.001834,0.001724,0.00154,-0.000953,-0.004144,-0.007884,-0.000147,-0.001614,-0.001834,-0.000733,-0.000257,0.001467,0.00011,-0.003007,-0.005647,0.000403,0.001577,0.001357,-0.004951,-0.004694,0.003337,-0.005354,-0.000807,0.008728,-0.004521,-0.000492,0.007205,0.001436,0.005949,0.009603,0.009925,0.006266,-0.011331,0.00282,0.007713,0.011872,0.061779,-1.046423,-0.003818,-1.059858,1,0,0,0,0,0,0,0,0,0,0
420,0.0,-0.00022,-0.00033,-0.003078,-0.006192,-0.010772,-0.001172,-0.002125,-0.002125,-0.00066,0.000403,0.001356,-0.000843,-0.00414,-0.007658,-0.001172,0.001063,-0.000403,-0.002601,0.00458,0.009636,-0.00491,0.006375,0.011212,-0.00421,0.005846,0.009694,0.001945,0.007449,0.010759,0.002979,-0.014012,-0.025037,0.001287,0.00623,0.012209,0.061039,-1.044824,-0.001213,-1.060883,1,0,0,0,0,0,0,0,0,0,0
421,-0.00011,-0.000293,-0.000367,-0.00011,-0.00385,-0.011221,-0.000293,-0.000513,-0.00088,0.001137,0.00286,-0.001137,-0.002273,-0.004914,-0.008581,0.002347,0.002127,-0.003264,0.00286,0.010891,0.013128,0.009461,0.018995,0.013861,0.008242,0.01594,0.014795,0.002566,0.00622,0.008419,-0.006653,-0.024243,-0.029942,0.003596,0.007753,0.014321,0.060861,-1.046662,0.000922,-1.061149,1,0,0,0,0,0,0,0,0,0,0
422,-0.00011,-0.00022,-0.000147,-0.003008,-0.007593,-0.01614,-0.00066,-0.00066,-0.00022,-7.3e-05,0.00088,-0.002458,-0.001027,-0.004549,-0.006749,-0.00011,-0.001577,-0.014893,0.004328,0.009391,0.010601,0.001834,0.006676,0.003081,0.001823,0.005675,0.005417,0.002944,0.006257,0.001646,-0.010459,-0.021572,-0.023261,0.001379,0.007406,0.012299,0.061762,-1.052327,0.001595,-1.059746,1,0,0,0,0,0,0,0,0,0,0
423,-7.3e-05,-0.000147,0.001248,-0.000734,-0.00811,-0.015229,0.00044,7.3e-05,0.001321,0.001798,-0.002202,-0.001101,-0.001615,-0.005284,-0.006128,-0.00011,-0.005504,-0.022274,0.003706,0.005945,0.009504,0.007706,0.002569,0.001358,0.005879,0.004733,0.002425,0.000711,0.002912,-0.006563,-0.007191,-0.01292,-0.017935,0.002796,0.009397,0.014618,0.060061,-1.057874,0.002051,-1.057985,1,0,0,0,0,0,0,0,0,0,0
424,-3.7e-05,3.7e-05,0.003781,-0.003854,-0.012407,-0.015417,-0.00044,0.0,0.003083,-0.000844,-0.004185,-0.001799,-0.001909,-0.004111,-0.005763,-0.001358,-0.014683,-0.031532,0.001358,0.00257,0.010058,-0.002863,-0.006461,-0.006864,-0.002026,-0.002284,-0.005058,0.002605,-0.00201,-0.015415,-0.003961,-0.005658,-0.015195,0.003255,0.008173,0.019085,0.058032,-1.059132,0.003473,-1.050244,1,0,0,0,0,0,0,0,0,0,0
