,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
22,0.005561,0.013088,0.04456,0.00453,0.01299,0.029869,0.004377,0.021088,0.035054,0.003582,0.001993,-0.021771,0.00623,0.009255,0.009812,1.4e-05,-0.006718,-0.020782,0.005631,0.012725,0.024782,-0.003108,-0.029758,-0.087322,-0.006538,-0.032371,-0.066211,-0.004267,-0.020072,-0.056081,-0.001514,0.003833,0.00348,-0.000308,-0.000109,0.002776,0.021094,-1.004461,-0.127981,-0.865386,1,0,0,0,0,0,0,0,0,0,0
23,0.003615,0.023592,0.050361,-0.000241,0.015327,0.038026,0.009939,0.027449,0.035842,-0.001446,-0.01802,-0.029618,0.003233,0.002736,0.005005,0.000468,-0.016759,-0.021168,0.005104,0.015256,0.022274,-0.00465,-0.064241,-0.093959,-0.003645,-0.047135,-0.065306,0.000609,-0.035594,-0.066105,0.003803,0.006431,0.006286,0.000108,0.002065,0.004159,0.025132,-1.024498,-0.123033,-0.87323,1,0,0,0,0,0,0,0,0,0,0
24,0.004115,0.03672,0.060068,0.00901,0.026496,0.042669,0.007191,0.021659,0.038654,-0.000173,-0.024793,-0.02706,-0.000159,0.000419,0.004794,-0.007451,-0.02202,-0.025024,0.002151,0.014642,0.030886,-0.022872,-0.082507,-0.092109,-0.02305,-0.058108,-0.06548,-0.016995,-0.054299,-0.075619,0.002526,0.002073,0.002165,0.000131,0.003827,0.005345,0.014807,-1.034708,-0.128065,-0.884375,1,0,0,0,0,0,0,0,0,0,0
25,0.016622,0.044543,0.053491,0.00701,0.030686,0.032816,0.010899,0.019654,0.036306,-0.01711,-0.029208,-0.016297,-0.000355,0.002011,0.008962,-0.010337,-0.014937,0.001582,0.008385,0.015706,0.029903,-0.038731,-0.069728,-0.068397,-0.021755,-0.040709,-0.052449,-0.020357,-0.052181,-0.038122,0.000544,0.00035,0.001082,0.002473,0.005286,0.005565,0.020725,-1.047756,-0.135527,-0.919947,1,0,0,0,0,0,0,0,0,0,0
26,0.017467,0.042373,0.037167,0.011352,0.028603,0.01414,0.004082,0.022211,0.037413,-0.008441,-0.010859,-0.008071,0.000986,0.005653,0.013739,-0.004775,-0.007979,0.009396,0.00459,0.021918,0.024891,-0.023273,-0.033516,-0.031298,-0.014737,-0.022602,-0.024066,-0.018591,-0.041333,-0.008235,-0.001434,-0.001289,0.006728,0.002519,0.004905,0.003394,0.024799,-1.072374,-0.143492,-0.948841,1,0,0,0,0,0,0,0,0,0,0
27,0.011618,0.02094,0.019676,0.013313,0.015531,-0.009954,0.005038,0.022388,0.028043,-0.00416,0.009291,-0.042203,0.001479,0.008721,0.01527,-1.5e-05,0.017196,0.007211,0.003035,0.017827,0.023852,-0.009014,-0.007627,-0.062357,-0.005005,-0.017237,-0.020433,-0.01456,8.8e-05,0.016409,0.001179,0.002155,0.001858,0.001223,0.001595,0.000525,0.022137,-1.037853,-0.149056,-0.964103,1,0,0,0,0,0,0,0,0,0,0
28,0.013658,0.008309,0.007692,0.004052,-0.010809,-0.034296,0.013452,0.029073,0.027886,0.001788,0.004653,-0.056373,0.003276,0.011585,0.013848,-0.003276,0.014576,-0.018912,0.014687,0.017741,0.017045,-0.001266,0.001013,-0.077612,-0.00294,-0.004445,-0.021978,-0.008412,0.025595,0.016042,-0.001247,0.008447,0.006572,0.001409,-0.000418,-0.001346,0.026494,-1.0329,-0.15098,-0.95017,1,0,0,0,0,0,0,0,0,0,0
29,-0.004194,-0.005526,-0.005006,-0.00182,-0.028704,-0.04187,0.004486,0.010451,0.012142,0.012353,-0.041968,-0.057344,0.004275,0.011183,0.012337,0.02152,0.010988,-0.014905,0.00052,0.006875,0.00065,0.002763,-0.054971,-0.073955,-0.009884,-0.013256,-0.017434,0.024092,0.041308,0.028771,0.002922,0.00249,0.008796,-0.001157,-0.002713,-0.00329,0.025781,-1.038779,-0.152609,-0.958589,1,0,0,0,0,0,0,0,0,0,0
30,-0.001331,-0.001979,0.004042,-0.013756,-0.038439,-0.043446,0.011826,0.010579,0.005156,-0.009631,-0.073768,-0.066333,0.004358,0.006736,0.007884,-0.00326,-0.038456,-0.054374,0.002678,0.001946,-0.002744,-0.000432,-0.083066,-0.100697,0.008533,-0.009894,-0.034856,0.011088,0.001047,-0.0104,0.010296,0.007639,0.005563,-0.001227,-0.002542,-0.001678,0.028181,-1.007532,-0.151283,-0.934793,1,0,0,0,0,0,0,0,0,0,0
31,-3.4e-05,0.000515,0.006556,-0.014193,-0.028094,-0.031733,-0.005904,-0.004119,-0.000841,-0.047419,-0.063654,-0.055777,0.002797,0.004016,0.00115,-0.007757,-0.035097,-0.072527,0.003947,-0.002626,-0.005217,-0.060514,-0.080559,-0.114591,-0.012364,-0.016776,-0.058971,0.006738,-0.006499,-0.041149,-0.01345,-0.004224,-0.002058,-0.000749,-0.001593,-0.000275,0.026399,-1.006493,-0.15487,-0.93462,1,0,0,0,0,0,0,0,0,0,0
