,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,gt_idle,gt_sr,gt_sl,gt_r
4416,-0.003492,-0.008521,-0.013661,-0.018439,-0.023775,-0.027546,-0.007655,-0.01436,-0.015449,-0.016595,-0.016539,-0.016036,-0.005364,-0.009443,-0.015254,-0.019361,-0.020534,-0.020981,0.001732,0.002235,0.004246,0.007292,0.009136,0.009275,-0.005811,-0.011454,-0.01584,-0.0195,-0.024082,-0.027267,-0.005308,-0.011762,-0.012488,-0.01408,-0.015086,-0.014891,-0.008242,-0.01626,-0.022992,-0.026317,-0.026876,-0.029334,0.004219,0.003799,0.005587,0.00623,0.007515,0.007236,0.00263,0.001938,0.001773,-0.000674,-0.00127,-0.00156,0.002146,0.002348,0.00277,0.002416,0.001421,0.001165,0.016293,0.04018,0.045752,0.042062,0.038715,0.050426,0.011843,0.014874,0.011398,0.005867,0.001855,-0.00104,1,0,0,0
4417,-0.005028,-0.010168,-0.014945,-0.020281,-0.024052,-0.025868,-0.006704,-0.007794,-0.008939,-0.008883,-0.00838,-0.007794,-0.004079,-0.009889,-0.013995,-0.015169,-0.015616,-0.016174,0.000503,0.002514,0.005559,0.007403,0.007542,0.007515,-0.005643,-0.010029,-0.013688,-0.018269,-0.021454,-0.02341,-0.006453,-0.007179,-0.008772,-0.009777,-0.009582,-0.008995,-0.008017,-0.01475,-0.018074,-0.018633,-0.021091,-0.022376,-0.000419,0.001369,0.002011,0.003296,0.003017,0.002766,-0.000691,-0.000856,-0.003303,-0.003899,-0.004189,-0.004363,0.000202,0.000624,0.000269,-0.000725,-0.000981,-0.000993,0.023873,0.029442,0.025754,0.022409,0.034113,0.038359,0.003029,-0.000445,-0.005973,-0.009983,-0.012875,-0.012217,1,0,0,0
4418,-0.005165,-0.009964,-0.015325,-0.019114,-0.020939,-0.020125,-0.001095,-0.002245,-0.002189,-0.001684,-0.001095,-0.000898,-0.005838,-0.009964,-0.011143,-0.011592,-0.012153,-0.013388,0.002021,0.00508,0.006933,0.007073,0.007045,0.007017,-0.004407,-0.008084,-0.012687,-0.015886,-0.017851,-0.01743,-0.00073,-0.00233,-0.00334,-0.003144,-0.002554,-0.00233,-0.006764,-0.010104,-0.010666,-0.013136,-0.014427,-0.015185,0.001796,0.002442,0.003733,0.003452,0.0032,0.002975,-0.000165,-0.002624,-0.003223,-0.003514,-0.003689,-0.003917,0.000424,6.8e-05,-0.000931,-0.001189,-0.001201,-0.001206,0.005758,0.001944,-0.001514,0.010587,0.014976,0.012248,-0.003591,-0.009306,-0.013451,-0.016442,-0.015761,-0.013845,1,0,0,0
4419,-0.004795,-0.01015,-0.013936,-0.015758,-0.014945,-0.013767,-0.00115,-0.001094,-0.000589,0.0,0.000196,0.000449,-0.004122,-0.005299,-0.005748,-0.006309,-0.007543,-0.008776,0.003056,0.004907,0.005047,0.005019,0.004991,0.004935,-0.003673,-0.008272,-0.011468,-0.013431,-0.01301,-0.013683,-0.001598,-0.002608,-0.002411,-0.001823,-0.001598,-0.001402,-0.003337,-0.003897,-0.006365,-0.007655,-0.008412,-0.009393,0.000645,0.001935,0.001654,0.001402,0.001178,0.001486,-0.002457,-0.003055,-0.003345,-0.00352,-0.003748,-0.003401,-0.000356,-0.001354,-0.001611,-0.001623,-0.001629,-0.001838,-0.003786,-0.00722,0.004795,0.009153,0.006444,0.004827,-0.005674,-0.00979,-0.012759,-0.012084,-0.010181,-0.001296,1,0,0,0
4420,-0.005368,-0.009162,-0.010989,-0.010174,-0.008994,-0.008488,5.6e-05,0.000562,0.001152,0.001349,0.001602,0.00312,-0.00118,-0.00163,-0.002192,-0.003429,-0.004665,-0.005705,0.001855,0.001995,0.001967,0.001939,0.001883,0.002024,-0.004609,-0.007813,-0.009781,-0.009359,-0.010034,-0.010989,-0.001012,-0.000815,-0.000225,0.0,0.000197,0.001911,-0.000562,-0.003035,-0.004328,-0.005087,-0.006071,-0.006605,0.001293,0.001012,0.000759,0.000534,0.000843,0.001995,-0.0006,-0.000891,-0.001066,-0.001295,-0.000947,3e-05,-0.001001,-0.001258,-0.00127,-0.001276,-0.001486,-0.001405,-0.00349,0.008723,0.013152,0.0104,0.008755,0.005336,-0.004184,-0.007202,-0.006515,-0.004581,0.004451,0.011658,1,0,0,0
4421,-0.003795,-0.005622,-0.004807,-0.003626,-0.00312,-0.002643,0.000506,0.001096,0.001293,0.001546,0.003064,0.003317,-0.00045,-0.001012,-0.002249,-0.003486,-0.004526,-0.005875,0.000141,0.000112,8.4e-05,2.8e-05,0.000169,0.000618,-0.003205,-0.005173,-0.004751,-0.005426,-0.006381,-0.005398,0.000197,0.000787,0.001012,0.001209,0.002924,0.00804,-0.002474,-0.003767,-0.004526,-0.00551,-0.006044,-0.007,-0.000281,-0.000534,-0.000759,-0.00045,0.000703,0.000843,-0.000291,-0.000467,-0.000695,-0.000347,0.000629,0.000295,-0.000258,-0.00027,-0.000275,-0.000485,-0.000405,0.004483,0.012235,0.016672,0.013915,0.012267,0.008842,0.006599,-0.003024,-0.002336,-0.000398,0.00865,0.01587,0.015231,1,0,0,0
4422,-0.001827,-0.001012,0.000169,0.000675,0.001152,0.000928,0.00059,0.000787,0.00104,0.002558,0.002811,0.004525,-0.000562,-0.001799,-0.003035,-0.004075,-0.005424,-0.006464,-2.8e-05,-5.6e-05,-0.000112,2.8e-05,0.000478,0.00045,-0.001967,-0.001546,-0.00222,-0.003176,-0.002192,-0.000984,0.00059,0.000815,0.001012,0.002726,0.007842,0.0086,-0.001293,-0.002052,-0.003035,-0.003569,-0.004525,-0.006802,-0.000253,-0.000478,-0.000169,0.000984,0.001124,0.000422,-0.000175,-0.000404,-5.6e-05,0.00092,0.000586,-6e-06,-1.2e-05,-1.8e-05,-0.000227,-0.000147,0.00474,0.003901,0.004431,0.001677,3.2e-05,-0.003388,-0.005627,0.002015,0.000687,0.002622,0.011656,0.018865,0.018227,0.010479,1,0,0,0
4423,0.000815,0.001996,0.002503,0.002981,0.002756,0.001631,0.000197,0.00045,0.001968,0.002221,0.003937,0.004133,-0.001237,-0.002474,-0.003515,-0.004865,-0.005905,-0.00658,-2.8e-05,-8.4e-05,5.6e-05,0.000506,0.000478,-0.000169,0.000422,-0.000253,-0.001209,-0.000225,0.000984,0.000647,0.000225,0.000422,0.002137,0.007255,0.008014,0.008042,-0.000759,-0.001743,-0.002278,-0.003234,-0.005511,-0.007367,-0.000225,8.4e-05,0.001237,0.001378,0.000675,-0.004583,-0.000229,0.000119,0.001096,0.000762,0.00017,-0.00435,-6e-06,-0.000215,-0.000135,0.004754,0.003915,0.003812,-0.002762,-0.004413,-0.007844,-0.01009,-0.002424,0.00629,0.001941,0.011004,0.018236,0.017596,0.009823,0.005722,1,0,0,0
4424,0.001182,0.001689,0.002167,0.001942,0.000816,-8.4e-05,0.000253,0.001773,0.002027,0.003744,0.003941,0.005573,-0.001238,-0.00228,-0.003631,-0.004673,-0.005348,-0.007431,-5.6e-05,8.4e-05,0.000535,0.000507,-0.000141,-0.002139,-0.000676,-0.001633,-0.000647,0.000563,0.000225,0.000676,0.000197,0.001914,0.007037,0.007797,0.007825,0.01109,-0.000985,-0.00152,-0.002477,-0.004757,-0.006615,-0.009458,0.00031,0.001464,0.001604,0.000901,-0.004363,-0.009204,0.000348,0.001326,0.000992,0.000399,-0.004125,-0.006907,-0.00021,-0.00013,0.004765,0.003925,0.003821,0.005562,-0.001662,-0.005118,-0.00738,0.000341,0.009118,0.014534,0.009128,0.016412,0.015767,0.007939,0.003808,-0.002495,1,0,0,0
4425,0.000507,0.000986,0.000761,-0.000366,-0.001268,-0.001775,0.001521,0.001775,0.003493,0.00369,0.005324,0.007859,-0.001042,-0.002394,-0.003436,-0.004112,-0.006197,-0.009239,0.000141,0.000592,0.000563,-8.5e-05,-0.002084,-0.010816,-0.000958,2.8e-05,0.001239,0.000901,0.001352,0.001803,0.001718,0.006845,0.007605,0.007633,0.010901,0.013154,-0.000535,-0.001493,-0.003774,-0.005633,-0.008478,-0.015351,0.001155,0.001296,0.000592,-0.004676,-0.009521,-0.022787,0.000979,0.000644,5.1e-05,-0.004477,-0.00726,-0.011487,8.1e-05,0.004978,0.004138,0.004034,0.005776,0.005578,-0.003473,-0.005746,0.002013,0.010832,0.016275,0.038984,0.00732,0.006672,-0.001195,-0.005346,-0.01168,-0.016848,1,0,0,0
4426,0.000479,0.000254,-0.000873,-0.001775,-0.002282,-0.002,0.000254,0.001972,0.002169,0.003803,0.006338,0.00924,-0.001352,-0.002394,-0.003071,-0.005155,-0.008198,-0.015127,0.000451,0.000423,-0.000225,-0.002225,-0.010958,-0.021494,0.000986,0.002197,0.001859,0.00231,0.002761,0.003042,0.005127,0.005888,0.005916,0.009184,0.011437,0.018621,-0.000958,-0.00324,-0.005099,-0.007944,-0.014818,-0.023719,0.000141,-0.000563,-0.005831,-0.010677,-0.023945,-0.045636,-0.000335,-0.000928,-0.005456,-0.00824,-0.012467,-0.023416,0.004898,0.004058,0.003954,0.005696,0.005498,0.009764,-0.002275,0.00549,0.014316,0.019763,0.04249,0.057071,-0.000648,-0.008522,-0.012676,-0.019015,-0.024187,-0.022165,1,0,0,0
