,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,gt_idle,gt_sr,gt_sl,gt_r
2048,-0.008719,-0.029818,-0.048689,-0.071938,-0.095546,-0.127753,0.00633,0.00625,-0.000995,-0.010112,-0.016482,-0.020184,-0.031291,-0.042598,-0.057487,-0.07576,-0.09889,-0.120507,8e-05,-0.000279,-0.001314,-0.001473,-0.005454,-0.012421,-0.016243,-0.044071,-0.06513,-0.088061,-0.116606,-0.146703,0.008281,0.005733,0.000637,-0.019786,-0.03356,-0.043871,-0.015884,-0.025359,-0.03583,-0.053904,-0.074765,-0.09686,-0.000358,-0.008042,-0.008957,-0.005773,-0.001991,-0.001752,-0.001537,-0.008949,-0.009036,-0.005703,0.001968,0.009186,0.002066,-0.000204,0.002028,-0.009282,-0.016454,-0.023158,-0.122782,-0.133755,-0.166072,-0.168582,-0.188862,-0.186967,0.103967,0.198186,0.227373,0.229188,0.292884,0.2728,1,0,0,0
2049,-0.020955,-0.039697,-0.062787,-0.086233,-0.11822,-0.136961,-7.9e-05,-0.007275,-0.016329,-0.022656,-0.026333,-0.028151,-0.011229,-0.026016,-0.044164,-0.067136,-0.088606,-0.103907,-0.000356,-0.001384,-0.001542,-0.005496,-0.012415,-0.018544,-0.027637,-0.048553,-0.071327,-0.099677,-0.129568,-0.149653,-0.00253,-0.007591,-0.027875,-0.041555,-0.051795,-0.050253,-0.00941,-0.019809,-0.037759,-0.058477,-0.080421,-0.09426,-0.007631,-0.00854,-0.005377,-0.001621,-0.001384,-0.000474,-0.007361,-0.007448,-0.004137,0.003481,0.01065,0.017634,-0.002254,-3.8e-05,-0.011271,-0.018393,-0.025052,-0.021629,-0.010458,-0.041259,-0.043652,-0.06298,-0.061174,-0.076286,0.0898,0.117618,0.119347,0.180056,0.160914,0.173457,1,0,0,0
2050,-0.018718,-0.041779,-0.065196,-0.097143,-0.115861,-0.128892,-0.007187,-0.01623,-0.022548,-0.026221,-0.028037,-0.029577,-0.014769,-0.032894,-0.055838,-0.07728,-0.092562,-0.106423,-0.001027,-0.001185,-0.005134,-0.012044,-0.018165,-0.023101,-0.02089,-0.043635,-0.071949,-0.101803,-0.121863,-0.143069,-0.005055,-0.025312,-0.038976,-0.049203,-0.047663,-0.04948,-0.010386,-0.028314,-0.049006,-0.070922,-0.084744,-0.096511,-0.000908,0.002251,0.006002,0.006239,0.007148,0.008727,-8.6e-05,0.00322,0.010829,0.017989,0.024964,0.031415,0.002214,-0.009005,-0.016119,-0.022769,-0.019351,-0.019151,-0.030533,-0.032904,-0.052064,-0.050274,-0.065254,-0.086895,0.027576,0.02929,0.08947,0.070495,0.082928,0.17085,1,0,0,0
2051,-0.022958,-0.04627,-0.078073,-0.096707,-0.10968,-0.115498,-0.009002,-0.015292,-0.018948,-0.020757,-0.02229,-0.02284,-0.018044,-0.040884,-0.062231,-0.077444,-0.091243,-0.110348,-0.000157,-0.004088,-0.010968,-0.017061,-0.021975,-0.023941,-0.022644,-0.05083,-0.08055,-0.10052,-0.121631,-0.127763,-0.020167,-0.033769,-0.043951,-0.042417,-0.044226,-0.050437,-0.017848,-0.038447,-0.060265,-0.074024,-0.085739,-0.102211,0.003145,0.00688,0.007115,0.00802,0.009592,0.010182,0.003291,0.010866,0.017994,0.024938,0.031359,0.033849,-0.011168,-0.01825,-0.02487,-0.021468,-0.021269,-0.026896,-0.002298,-0.020864,-0.019129,-0.033644,-0.054615,-0.08065,0.001661,0.059975,0.041588,0.053636,0.138832,0.145901,1,0,0,0
2052,-0.023292,-0.055069,-0.073687,-0.086649,-0.092463,-0.104011,-0.006285,-0.009938,-0.011744,-0.013276,-0.013826,-0.016183,-0.022821,-0.044149,-0.05935,-0.073137,-0.092227,-0.099022,-0.003928,-0.010802,-0.01689,-0.0218,-0.023764,-0.023646,-0.028163,-0.057858,-0.077812,-0.098904,-0.105032,-0.116737,-0.013591,-0.023764,-0.022232,-0.024039,-0.030245,-0.030166,-0.020582,-0.042382,-0.05613,-0.067835,-0.084293,-0.098629,0.003731,0.003967,0.004871,0.006442,0.007031,0.009348,0.007568,0.01469,0.021628,0.028044,0.030532,0.032954,-0.007076,-0.013691,-0.010291,-0.010093,-0.015715,-0.013274,-0.018458,-0.016733,-0.031164,-0.052011,-0.077894,-0.004211,0.057973,0.039694,0.051672,0.13637,0.143397,0.14331,1,0,0,0
2053,-0.031917,-0.050618,-0.063637,-0.069476,-0.081075,-0.085888,-0.003669,-0.005484,-0.007023,-0.007575,-0.009942,-0.015426,-0.021423,-0.036691,-0.050539,-0.069713,-0.076538,-0.088413,-0.006904,-0.013019,-0.017951,-0.019924,-0.019805,-0.020279,-0.029826,-0.049868,-0.071054,-0.077209,-0.088965,-0.093463,-0.010218,-0.00868,-0.010494,-0.016728,-0.016649,-0.022882,-0.021896,-0.035704,-0.047461,-0.063992,-0.078392,-0.088492,0.000237,0.001144,0.002722,0.003314,0.005642,0.007851,0.007153,0.014122,0.020567,0.023065,0.025497,0.028116,-0.006644,-0.003229,-0.00303,-0.008677,-0.006226,-0.006995,0.001779,-0.013104,-0.034606,-0.0613,0.014693,-0.004733,-0.018852,-0.006499,0.080854,0.088102,0.088012,0.085287,1,0,0,0
2054,-0.018749,-0.031803,-0.037657,-0.049287,-0.054112,-0.057514,-0.00182,-0.003362,-0.003916,-0.006289,-0.011788,-0.011748,-0.015308,-0.029192,-0.048416,-0.05526,-0.067166,-0.079824,-0.006131,-0.011076,-0.013053,-0.012935,-0.013409,-0.013528,-0.020094,-0.041336,-0.047507,-0.059294,-0.063804,-0.067403,0.001543,-0.000277,-0.006527,-0.006448,-0.012697,-0.015466,-0.013845,-0.025632,-0.042206,-0.056644,-0.06677,-0.076066,0.00091,0.002492,0.003085,0.005419,0.007634,0.010601,0.006987,0.013448,0.015954,0.018392,0.021017,0.024001,0.003424,0.003623,-0.002038,0.000419,-0.000352,-0.003141,-0.015158,-0.037057,-0.064245,0.013153,-0.006632,-0.044153,0.012582,0.10155,0.108932,0.108839,0.106064,0.110054,1,0,0,0
2055,-0.013081,-0.018948,-0.030603,-0.035439,-0.038848,-0.044953,-0.001546,-0.002101,-0.004479,-0.009989,-0.00995,-0.008998,-0.013914,-0.033179,-0.040037,-0.051969,-0.064654,-0.079083,-0.004955,-0.006937,-0.006818,-0.007294,-0.007413,-0.007334,-0.021287,-0.027471,-0.039284,-0.043803,-0.04741,-0.05518,-0.001823,-0.008087,-0.008007,-0.014271,-0.017046,-0.014707,-0.011813,-0.028422,-0.042891,-0.053039,-0.062355,-0.066795,0.001586,0.00218,0.004519,0.006739,0.009712,0.01209,0.006475,0.008986,0.01143,0.01406,0.01705,0.019188,0.0002,-0.005474,-0.003011,-0.003784,-0.006578,-0.005078,-0.02223,-0.049829,0.028739,0.008655,-0.029433,-0.142708,0.090313,0.097806,0.097713,0.094896,0.098946,0.115134,1,0,0,0
2056,-0.005856,-0.017488,-0.022316,-0.025718,-0.031812,-0.046056,-0.000554,-0.002928,-0.008428,-0.008388,-0.007439,-0.007795,-0.019229,-0.026074,-0.037984,-0.050645,-0.065048,-0.061645,-0.001978,-0.00186,-0.002334,-0.002453,-0.002374,-0.002176,-0.006172,-0.017963,-0.022474,-0.026074,-0.03383,-0.040556,-0.006252,-0.006172,-0.012424,-0.015194,-0.012859,-0.020377,-0.016578,-0.03102,-0.041149,-0.050448,-0.054879,-0.058163,0.000594,0.002928,0.005144,0.008111,0.010485,0.015431,0.002506,0.004945,0.007571,0.010555,0.012689,0.017521,-0.005663,-0.003205,-0.003977,-0.006766,-0.005268,-0.012898,-0.02724,0.050306,0.030483,-0.00711,-0.118911,-0.042212,0.007396,0.007304,0.004523,0.008521,0.024499,-0.045326,1,0,0,0
2057,-0.01162,-0.016442,-0.019841,-0.025928,-0.040156,-0.044109,-0.002371,-0.007865,-0.007826,-0.006877,-0.007233,-0.004466,-0.006838,-0.018734,-0.031382,-0.045769,-0.04237,-0.047073,0.000119,-0.000356,-0.000474,-0.000395,-0.000198,0.003162,-0.011778,-0.016284,-0.019881,-0.027627,-0.034346,-0.034465,7.9e-05,-0.006166,-0.008932,-0.006601,-0.01411,-0.013478,-0.014426,-0.024544,-0.033833,-0.038259,-0.04154,-0.043634,0.002332,0.004545,0.00751,0.009881,0.014821,0.026244,0.002437,0.00506,0.00804,0.010172,0.014999,0.023017,0.002456,0.001685,-0.001101,0.000395,-0.007226,-0.00956,0.076962,0.057288,0.019978,-0.090981,-0.014859,-0.048508,-9.2e-05,-0.002851,0.001116,0.016974,-0.052324,-0.087056,1,0,0,0
